time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load
1721312710,2.14405,0.47303,0.4027,0.4076975,0.52123,0.433475,0.4927075,0.5468375,0.08342,0.5067475,0.4200075,0.3179225,0.4429525,0.46661,0.5435,0.3990475,0.507535,0.4757475,0.53409,9.3224025,0.406545,0.0096175,0.40471,0.6102775,0.5030125,0.72428,0.873275,0.5600425,0.49425,0.406985,0.6660625,0.3748475,0.5204625,0.38634,0.4281025,2.554725,0.0177025,0.43081,0.513505,0.57152,0.4540225,0.4451475,0.118685,0.3488775,0.45729,0.033625,0.684715,3.65697,3.52722,4.03932,294.8398438,672.734375,733.8320313,699.890625,664.1914063,710.5546875,780.4648438,834.1210938,319.046875,680.046875,716.8867188,814.2109375,733.0390625,771.8046875,829.4257813,725.90625,697.7734375,718.7539063,884.1289063,980.0507813,782.609375,6.63671875,798.0742188,773.5195313,997.2617188,739.4453125,599.9335938,636.7617188,769.5507813,704.1835938,630.7382813,819.2226563,733.8125,743.8398438,804.1132813,784.0859375,99.63671875,797.5117188,862.4648438,636.3398438,806.9921875,850.7109375,49.1640625,788.296875,659.9960938,40.89453125,717.765625,895.0976563,1551.761719,962.875,210,1,1,1
1721312711,2.14405,0.47303,0.4027,0.4076975,0.52123,0.433475,0.4927075,0.5468375,0.08342,0.5067475,0.4200075,0.3179225,0.4429525,0.46661,0.5435,0.3990475,0.507535,0.4757475,0.53409,9.3224025,0.406545,0.0096175,0.40471,0.6102775,0.5030125,0.72428,0.873275,0.5600425,0.49425,0.406985,0.6660625,0.3748475,0.5204625,0.38634,0.4281025,2.554725,0.0177025,0.43081,0.513505,0.57152,0.4540225,0.4451475,0.118685,0.3488775,0.45729,0.033625,0.684715,3.65697,3.52722,4.03932,294.8398438,672.734375,733.8320313,699.890625,664.1914063,710.5546875,780.4648438,834.1210938,319.046875,680.046875,716.8867188,814.2109375,733.0390625,771.8046875,829.4257813,725.90625,697.7734375,718.7539063,884.1289063,980.0507813,782.609375,6.63671875,798.0742188,773.5195313,997.2617188,739.4453125,599.9335938,636.7617188,769.5507813,704.1835938,630.7382813,819.2226563,733.8125,743.8398438,804.1132813,784.0859375,99.63671875,797.5117188,862.4648438,636.3398438,806.9921875,850.7109375,49.1640625,788.296875,659.9960938,40.89453125,717.765625,895.0976563,1551.761719,962.875,210,1,1,1
1721312712,2.360155,0.3693475,0.51918,0.574725,0.52123,0.4988275,0.355285,0.462105,0.08342,0.4987725,0.4890725,0.5149675,0.4429525,0.4107375,0.4377475,0.3990475,0.507535,0.4757475,0.53409,9.3224025,0.5173825,0.013,0.40471,0.6102775,0.4662725,0.44009,0.873275,0.4932475,0.49425,0.3890225,0.93305,0.481515,0.5204625,0.600195,0.439215,10.862885,0.0177025,0.5354625,0.513505,0.4742725,0.46995,0.4451475,0.118685,0.4524575,0.3733875,0.033625,0.5175875,4.05131,4.5575825,4.03932,294.8398438,672.734375,733.8398438,699.921875,664.1914063,710.5664063,780.4648438,834.1210938,319.046875,680,716.8867188,814.1835938,733.0390625,771.8085938,829.4257813,725.90625,697.7734375,718.7539063,884.1289063,980.0507813,782.6054688,6.63671875,798.0742188,773.5195313,997.2890625,739.4453125,599.9335938,636.7851563,769.5507813,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3398438,806.8359375,850.7109375,49.1640625,788.2929688,659.9960938,40.89453125,717.765625,895.2226563,1551.996094,962.875,1116,1,1,1
1721312713,2.360155,0.3693475,0.51918,0.574725,0.52123,0.4988275,0.355285,0.462105,0.08342,0.4987725,0.4890725,0.5149675,0.4429525,0.4107375,0.4377475,0.3990475,0.507535,0.4757475,0.53409,9.3224025,0.5173825,0.013,0.40471,0.6102775,0.4662725,0.44009,0.873275,0.4932475,0.49425,0.3890225,0.93305,0.481515,0.5204625,0.600195,0.439215,10.862885,0.0177025,0.5354625,0.513505,0.4742725,0.46995,0.4451475,0.118685,0.4524575,0.3733875,0.033625,0.5175875,4.05131,4.5575825,4.03932,294.8398438,672.734375,733.8398438,699.921875,664.1914063,710.5664063,780.4648438,834.1210938,319.046875,680,716.8867188,814.1835938,733.0390625,771.8085938,829.4257813,725.90625,697.7734375,718.7539063,884.1289063,980.0507813,782.6054688,6.63671875,798.0742188,773.5195313,997.2890625,739.4453125,599.9335938,636.7851563,769.5507813,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3398438,806.8359375,850.7109375,49.1640625,788.2929688,659.9960938,40.89453125,717.765625,895.2226563,1551.996094,962.875,1116,1,1,1
1721312714,2.360155,0.3693475,0.51918,0.574725,0.52123,0.4988275,0.355285,0.462105,0.08342,0.4987725,0.4890725,0.5149675,0.4429525,0.4107375,0.4377475,0.3990475,0.58372,0.4757475,0.53409,9.3224025,0.5173825,0.013,0.47018,0.482795,0.4662725,0.44009,1.0505325,0.4932475,0.6018775,0.3890225,0.93305,0.481515,0.5204625,0.600195,0.439215,10.862885,0.0151375,0.5354625,0.44047,0.4742725,0.46995,0.6653275,0.118685,0.4524575,0.3733875,0.03459,0.5175875,4.05131,4.5575825,4.0634675,294.8398438,672.734375,733.8398438,699.921875,664.1914063,710.5664063,780.4648438,834.1210938,319.046875,680,716.8867188,814.1835938,733.0390625,771.8085938,829.4257813,725.90625,697.7929688,718.7539063,884.1289063,980.0507813,782.6054688,6.63671875,798.078125,773.5195313,997.2890625,739.4453125,599.4375,636.7851563,769.546875,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3398438,806.8359375,850.609375,49.1640625,788.2929688,659.9960938,40.89453125,717.765625,895.2226563,1551.996094,962.875,1116,1,1,1
1721312715,2.360155,0.3693475,0.51918,0.574725,0.52123,0.4988275,0.355285,0.462105,0.08342,0.4987725,0.4890725,0.5149675,0.4429525,0.4107375,0.4377475,0.3990475,0.58372,0.4757475,0.53409,9.3224025,0.5173825,0.013,0.47018,0.482795,0.4662725,0.44009,1.0505325,0.4932475,0.6018775,0.3890225,0.93305,0.481515,0.5204625,0.600195,0.439215,10.862885,0.0151375,0.5354625,0.44047,0.4742725,0.46995,0.6653275,0.118685,0.4524575,0.3733875,0.03459,0.5175875,4.05131,4.5575825,4.0634675,294.8398438,672.734375,733.8398438,699.921875,664.1914063,710.5664063,780.4648438,834.1210938,319.046875,680,716.8867188,814.1835938,733.0390625,771.8085938,829.4257813,725.90625,697.7929688,718.7539063,884.1289063,980.0507813,782.6054688,6.63671875,798.078125,773.5195313,997.2890625,739.4453125,599.4375,636.7851563,769.546875,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3398438,806.8359375,850.609375,49.1640625,788.2929688,659.9960938,40.89453125,717.765625,895.2226563,1551.996094,962.875,1116,1,1,1
1721312716,2.360155,0.3693475,0.51918,0.574725,0.52123,0.4988275,0.355285,0.462105,0.08342,0.4987725,0.4890725,0.5149675,0.4429525,0.4107375,0.4377475,0.3990475,0.58372,0.4757475,0.53409,9.3224025,0.5173825,0.013,0.47018,0.482795,0.4662725,0.44009,1.0505325,0.4932475,0.6018775,0.3890225,0.93305,0.481515,0.5204625,0.600195,0.439215,10.862885,0.0151375,0.5354625,0.44047,0.4742725,0.46995,0.6653275,0.118685,0.4524575,0.3733875,0.03459,0.5175875,4.05131,4.5575825,4.0634675,294.8398438,672.734375,733.8398438,699.921875,664.1914063,710.5664063,780.4648438,834.1210938,319.046875,680,716.8867188,814.1835938,733.0390625,771.8085938,829.4257813,725.90625,697.7929688,718.7539063,884.1289063,980.0507813,782.6054688,6.63671875,798.078125,773.5195313,997.2890625,739.4453125,599.4375,636.7851563,769.546875,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3398438,806.8359375,850.609375,49.1640625,788.2929688,659.9960938,40.89453125,717.765625,895.2226563,1551.996094,962.875,1116,1,1,1
1721312717,0.739365,0.50263,0.51918,0.403375,0.4435925,0.39919,0.53704,0.42366,0.1200025,0.5808825,0.5650575,0.4293575,0.53195,0.4107375,0.3334525,0.6196925,0.58372,0.4818575,0.4092375,10.881755,0.5173825,0.00987,0.47018,0.482795,0.483715,0.44009,1.0505325,0.5896225,0.6018775,0.3890225,0.8433675,0.4051775,0.5204625,0.600195,0.439215,10.862885,0.0151375,0.441545,0.44047,0.5790475,0.46995,0.6653275,0.7636525,0.4524575,0.4304475,0.03459,0.5256875,3.71204,6.2072625,4.0634675,294.8398438,672.7578125,733.8398438,699.921875,664.1914063,710.5664063,780.9414063,834.125,319.0429688,679.9804688,716.8945313,814.1835938,733.09375,771.8085938,829.4257813,725.8945313,697.7929688,718.7539063,884.15625,985.1601563,782.6054688,6.63671875,798.078125,773.5195313,997.6054688,739.4453125,599.4375,636.7617188,769.546875,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3945313,806.8359375,850.609375,50.23046875,788.2929688,659.9960938,40.89453125,717.7617188,895.21875,1552.445313,962.875,1116,1,1,0
1721312718,0.739365,0.50263,0.51918,0.403375,0.4435925,0.39919,0.53704,0.42366,0.1200025,0.5808825,0.5650575,0.4293575,0.53195,0.4107375,0.3334525,0.6196925,0.58372,0.4818575,0.4092375,10.881755,0.5173825,0.00987,0.47018,0.482795,0.483715,0.44009,1.0505325,0.5896225,0.6018775,0.3890225,0.8433675,0.4051775,0.5204625,0.600195,0.439215,10.862885,0.0151375,0.441545,0.44047,0.5790475,0.46995,0.6653275,0.7636525,0.4524575,0.4304475,0.03459,0.5256875,3.71204,6.2072625,4.0634675,294.8398438,672.7578125,733.8398438,699.921875,664.1914063,710.5664063,780.9414063,834.125,319.0429688,679.9804688,716.8945313,814.1835938,733.09375,771.8085938,829.4257813,725.8945313,697.7929688,718.7539063,884.15625,985.1601563,782.6054688,6.63671875,798.078125,773.5195313,997.6054688,739.4453125,599.4375,636.7617188,769.546875,704.1835938,630.6601563,819.2460938,733.8125,743.890625,804.140625,811.109375,99.63671875,797.5078125,862.4648438,636.3945313,806.8359375,850.609375,50.23046875,788.2929688,659.9960938,40.89453125,717.7617188,895.21875,1552.445313,962.875,1116,1,1,0
1721312719,0.739365,0.50263,0.51918,0.403375,0.4435925,0.39919,0.53704,0.42366,0.1200025,0.5808825,0.5650575,0.4293575,0.53195,0.4107375,0.3334525,0.6196925,0.4931975,0.4818575,0.4092375,10.881755,0.5173825,0.00987,0.58837,0.482795,0.483715,0.44009,1.0505325,0.5896225,0.5021775,0.3890225,0.8433675,0.4051775,0.714225,0.600195,0.439215,10.862885,0.022735,0.441545,0.56242,0.5790475,0.46995,0.6653275,0.7636525,0.4524575,0.4304475,0.027425,0.5256875,3.71204,6.2072625,3.436125,294.8398438,672.7578125,733.8398438,699.921875,664.1914063,710.5664063,780.9414063,834.125,319.0429688,679.9804688,716.8945313,814.1835938,733.09375,771.8085938,829.4257813,725.8945313,697.7929688,718.7539063,884.15625,985.1601563,782.6054688,6.63671875,798.046875,773.5195313,997.6054688,739.4453125,599.4375,636.7617188,769.546875,704.1835938,630.6601563,819.2460938,733.7695313,743.890625,804.140625,811.109375,99.66015625,797.5078125,862.4648438,636.3945313,806.8359375,850.609375,50.23046875,788.2929688,659.9960938,40.89453125,717.7617188,895.21875,1552.445313,962.8710938,1116,1,1,0
